Word,Simplified grammatical category,Concretenes,Subjective Frequency,Imagery,AoA,Log frequency,Frequency
ajustar,v,3.87,4.47,3.83,5.15,8.89,7283.00
alagar,v,3.84,2.62,4.06,7.36,5.20,182.00
alargar,v,3.20,3.65,3.10,6.59,9.59,14685.00
alarmar,v,3.40,3.03,3.84,6.69,5.71,303.00
alastrar,v,3.93,3.04,4.28,7.20,7.12,1237.00
alavancar,v,3.65,3.00,3.96,7.10,7.29,1461.00
albergar,v,4.10,2.68,4.18,6.22,7.69,2187.00
alcançar,v,3.61,4.75,4.06,5.24,10.85,51568.00
alçar,v,3.84,2.53,3.95,7.39,6.23,508.00
alcunhar,v,4.30,2.58,4.25,7.14,2.83,17.00
aldear,v,4.21,2.46,3.88,7.14,3.50,33.00
alegar,v,2.65,3.60,3.02,7.03,7.85,2577.00
alegrar,v,3.57,3.68,4.41,5.12,6.93,1025.00
aleijar,v,4.00,3.19,4.34,6.80,4.33,76.00
aleitar,v,4.26,2.86,4.29,7.05,2.71,15.00
alertar,v,3.89,4.07,4.21,6.32,8.83,6811.00
alfabetizar,v,4.30,3.23,4.43,6.44,5.04,155.00
alfinetar,v,3.46,2.38,3.64,8.26,5.61,272.00
alforriar,v,4.44,2.64,4.41,7.35,3.04,21.00
algemar,v,4.72,3.19,4.78,6.92,5.23,187.00
alhear,v,3.06,2.70,3.43,8.24,4.80,121.00
aliar,v,2.84,3.42,3.62,7.03,7.65,2107.00
alicerçar,v,3.96,2.34,3.86,7.26,5.51,246.00
aliciar,v,3.94,3.02,4.10,6.54,6.43,618.00
alienar,v,3.64,2.79,3.50,7.61,7.63,2058.00
alijar,v,3.53,2.77,3.57,7.89,5.04,154.00
alimentar,v,4.66,4.92,4.76,3.64,10.75,46559.00
alinhar,v,3.67,4.02,3.82,5.99,8.56,5193.00
alinhavar,v,3.89,2.78,3.67,8.19,5.04,154.00
alisar,v,5.14,3.35,5.07,5.48,5.26,193.00
alistar,v,4.59,3.11,4.45,6.33,6.69,808.00
aliviar,v,3.82,4.09,4.05,6.20,8.94,7594.00
almejar,v,2.90,2.83,3.30,6.71,6.19,488.00
almoçar,v,5.32,4.64,5.48,3.05,8.76,6345.00
alocar,v,3.86,3.19,3.79,7.63,6.15,469.00
alojar,v,4.26,2.93,4.07,6.93,7.14,1264.00
alongar,v,3.27,3.51,3.45,6.20,7.13,1244.00
alourar,v,4.58,2.80,4.47,6.99,3.09,22.00
altear,v,4.41,2.62,4.29,7.16,3.33,28.00
alterar,v,3.17,4.80,3.43,6.23,10.57,38814.00
altercar,v,4.20,2.53,4.21,7.26,2.89,18.00
