Word,Simplified grammatical category,Concretenes,Subjective Frequency,Imagery,AoA,Log frequency,Frequency
abafado,a,3.47,3.92,3.96,5.28,7.11,1220.00
abafador,a,5.73,2.84,5.10,7.25,4.41,82.00
abalado,a,2.61,4.12,3.59,7.62,8.15,3450.00
abalizado,a,3.88,2.58,3.56,7.59,4.36,78.00
abandonado,a,3.68,4.16,3.97,5.24,9.75,17183.00
abarrotado,a,4.14,3.26,4.00,7.13,5.18,177.00
abastado,a,4.26,2.77,4.07,6.61,6.75,858.00
abastardado,a,4.02,2.72,4.04,7.92,2.94,19.00
abatido,a,4.17,4.05,4.33,5.39,8.57,5248.00
abaulado,a,4.69,2.65,4.41,6.50,4.04,57.00
abençoado,a,3.34,4.12,4.07,6.67,7.41,1658.00
aberto,a,4.21,4.90,4.17,5.23,11.37,87055.00
abespinhado,a,4.08,2.78,4.07,7.56,3.00,20.00
abestado,a,4.16,2.87,4.28,7.41,3.18,24.00
abestalhado,a,4.12,2.99,4.19,7.66,3.14,23.00
abilolado,a,4.37,2.76,4.41,7.36,2.40,11.00
abismado,a,3.84,3.64,4.51,7.62,5.15,173.00
abnegado,a,2.67,2.89,2.96,9.00,5.26,193.00
abobado,a,4.24,2.92,4.39,7.49,4.01,55.00
abobalhado,a,3.58,3.05,3.85,7.48,3.64,38.00
abocanhado,a,4.25,2.54,4.11,7.79,3.76,43.00
abolido,a,3.55,2.87,3.32,7.17,7.58,1960.00
abonado,a,3.89,3.21,3.98,6.83,4.30,74.00
aborrecedor,a,4.15,2.93,4.22,7.45,2.56,13.00
aborrecido,a,3.10,4.88,3.88,5.21,7.87,2617.00
abortivo,a,4.18,2.53,4.03,7.65,4.77,118.00
abraçado,a,4.17,3.81,4.53,6.01,7.13,1251.00
abrasador,a,4.04,2.92,4.13,6.47,5.28,196.00
abrasileirado,a,4.50,2.74,4.41,7.45,3.37,29.00
abrasivo,a,4.07,2.96,4.01,8.11,5.88,358.00
abreviado,a,4.19,3.18,3.64,6.60,8.03,3084.00
abrigado,a,4.17,2.96,4.27,6.83,6.87,960.00
abrutalhado,a,4.20,2.84,4.27,7.39,2.71,15.00
absoluto,a,2.62,4.38,2.96,6.64,9.88,19574.00
abstrato,a,3.18,3.72,3.55,7.19,7.67,2144.00
absurdo,a,2.34,4.87,3.02,6.41,9.48,13139.00
abusivo,a,2.72,3.71,3.08,7.70,7.90,2687.00
acabado,a,3.89,5.12,4.31,4.63,9.89,19745.00
acabrunhado,a,3.15,2.77,3.51,7.81,5.26,192.00
acadêmico,a,4.04,4.12,4.02,7.10,9.14,9324.00
acalorado,a,3.24,2.96,3.19,8.15,5.87,355.00
acamado,a,5.18,3.22,4.69,7.75,5.42,227.00
acampado,a,4.84,2.96,4.70,7.52,6.24,514.00
acanhado,a,3.49,3.52,3.73,5.98,6.44,625.00
acastanhado,a,5.49,3.10,5.19,6.41,5.51,248.00
acautelado,a,3.47,3.09,3.43,8.73,5.43,228.00
acavalado,a,4.34,2.73,4.25,7.52,2.30,10.00
acebolado,a,4.74,2.81,4.52,6.76,3.69,40.00
acéfalo,a,4.03,2.76,4.02,7.23,4.82,124.00
aceito,a,2.93,4.74,3.15,6.14,9.67,15881.00
acelerado,a,3.03,3.98,3.45,7.82,8.89,7291.00
acentuado,a,3.13,3.80,3.19,6.79,8.59,5358.00
acerbo,a,3.43,2.43,3.58,8.40,4.80,122.00
acertado,a,3.74,4.27,3.48,6.00,8.68,5894.00
aceso,a,4.25,4.21,4.27,6.01,7.64,2070.00
acessório,a,4.53,4.21,4.07,7.04,8.11,3341.00
acético,a,4.26,2.61,3.71,7.56,7.00,1098.00
acetinado,a,4.91,2.83,4.53,8.02,4.96,143.00
achado,a,4.36,4.43,4.43,5.33,8.84,6920.00
achatado,a,5.29,3.63,4.84,6.20,6.80,894.00
achocolatado,a,5.77,3.80,5.39,6.74,5.84,345.00
ácido,a,4.74,4.52,4.29,6.12,10.14,25369.00
acintoso,a,3.05,2.69,3.23,8.48,4.17,65.00
acinzentado,a,5.49,3.16,5.07,7.42,6.01,406.00
acionário,a,4.21,2.67,3.68,8.58,7.44,1702.00
acirrado,a,3.02,2.90,3.30,8.04,6.20,494.00
aclarado,a,3.41,2.51,3.47,8.16,3.64,38.00
acobreado,a,4.73,2.47,4.50,6.62,3.56,35.00
açodado,a,3.64,2.41,3.59,8.42,4.06,58.00
acolchoado,a,5.93,3.12,5.36,5.86,5.42,225.00
acomodado,a,3.86,3.62,4.23,6.34,6.52,676.00
acompanhado,a,4.67,5.02,4.36,4.61,10.58,39371.00
aconchegado,a,4.38,2.93,4.52,6.89,4.43,84.00
acoplado,a,4.97,3.07,4.18,6.55,7.27,1432.00
acordado,a,4.03,4.81,4.04,5.61,9.65,15592.00
açoriano,a,4.77,2.68,4.43,7.17,7.94,2812.00
acorrentado,a,5.38,3.19,5.07,7.44,6.55,701.00
acostumado,a,3.52,4.57,4.05,5.61,8.65,5703.00
acovardado,a,2.85,2.57,2.94,7.67,4.62,101.00
acreditado,a,3.47,3.68,3.77,7.52,7.66,2126.00
acriançado,a,4.31,2.71,4.32,7.50,2.08,8.00
acriano,a,4.05,2.05,3.54,9.18,5.56,261.00
acromático,a,4.46,2.80,4.12,7.62,4.01,55.00
acuado,a,3.73,2.98,3.70,7.06,6.68,800.00
açucarado,a,4.52,2.91,4.56,6.57,5.93,376.00
acumulativo,a,3.56,2.89,3.55,7.99,3.99,54.00
acurado,a,2.89,2.99,3.09,8.63,5.42,225.00
acusado,a,4.07,4.25,4.03,5.76,10.64,41868.00
acusatório,a,4.00,2.85,3.98,7.09,5.92,374.00
acústico,a,4.18,3.53,4.33,7.53,8.53,5083.00
acutângulo,a,4.45,2.50,4.30,7.54,2.56,13.00
adamascado,a,4.70,2.36,4.47,7.47,2.77,16.00
adequado,a,3.07,4.99,2.76,6.56,10.65,42151.00
adesivo,a,5.77,3.97,5.04,5.61,7.45,1724.00
adiantado,a,4.20,4.31,3.91,6.08,8.55,5188.00
adiposo,a,5.57,2.77,4.87,7.84,6.56,703.00
aditivado,a,4.55,2.88,4.53,7.42,3.40,30.00
aditivo,a,4.74,3.37,3.81,7.06,8.39,4414.00
adjunto,a,4.90,3.72,4.05,6.12,9.51,13473.00
administrativo,a,3.94,3.92,3.67,6.64,10.36,31662.00
admirado,a,2.96,4.24,3.51,5.73,7.95,2823.00
admirativo,a,4.36,2.59,4.16,7.01,3.22,25.00
admitido,a,3.53,3.71,3.23,7.59,8.82,6788.00
adocicado,a,4.19,3.64,4.27,7.00,6.17,477.00
adoentado,a,4.24,3.04,4.26,7.65,5.28,196.00
adoidado,a,4.18,3.09,4.84,6.51,5.12,168.00
adotivo,a,4.44,3.01,4.27,6.14,7.66,2125.00
adriático,a,5.12,2.94,4.91,5.79,7.85,2572.00
aduaneiro,a,4.23,3.03,3.80,7.53,9.33,11297.00
adulterado,a,4.52,3.71,4.34,7.16,6.48,654.00
adverso,a,2.64,3.48,3.11,7.84,7.54,1874.00
advocatício,a,4.60,2.75,4.50,7.24,2.89,18.00
aéreo,a,4.46,3.92,4.51,6.27,10.33,30671.00
aeróbico,a,3.63,2.96,3.67,7.99,5.37,215.00
aeróbio,a,3.64,2.47,3.54,7.77,4.33,76.00
aerodinâmico,a,3.87,3.30,3.76,6.72,6.82,920.00
aeroviário,a,3.77,2.27,3.47,10.31,5.20,182.00
aético,a,4.27,2.75,4.14,7.69,2.94,19.00
afamado,a,4.00,2.83,3.95,8.25,6.45,635.00
afásico,a,4.41,2.53,4.31,7.73,2.64,14.00
afastado,a,2.98,4.40,3.26,6.14,10.07,23513.00
afeiçoado,a,3.19,3.36,3.58,7.91,5.28,197.00
afeito,a,3.00,3.32,3.49,6.37,5.91,369.00
aferrado,a,3.43,2.56,3.52,8.92,3.81,45.00
aferrolhado,a,4.33,2.74,4.28,7.21,3.40,30.00
afetado,a,2.83,4.36,3.41,7.18,8.73,6210.00
afetivo,a,2.57,3.64,3.24,7.34,6.75,854.00
afetuoso,a,3.23,3.74,3.69,6.53,5.99,400.00
afiado,a,4.39,3.85,4.44,5.84,6.96,1058.00
afinado,a,3.96,3.63,3.89,6.61,6.78,884.00
afinar,a,4.20,3.37,3.97,6.23,6.97,1060.00
afirmativo,a,3.76,3.52,3.61,7.90,7.99,2958.00
afixo,a,4.18,2.39,3.91,7.76,3.93,51.00
aflitivo,a,2.84,3.17,3.16,7.68,5.22,185.00
afobado,a,4.03,2.93,4.06,6.91,5.16,175.00
afogador,a,4.99,2.83,4.61,7.35,4.09,60.00
afogueado,a,4.76,2.80,4.69,6.77,4.69,109.00
afoito,a,3.48,3.29,3.49,7.13,5.62,277.00
afônico,a,4.87,2.67,4.68,7.52,3.37,29.00
afro-americano,a,4.73,2.77,4.61,7.69,7.15,1268.00
afro-brasileiro,a,3.46,2.42,3.69,7.74,5.66,287.00
afrodescendente,a,4.13,2.46,4.02,7.85,5.30,201.00
afrontado,a,3.70,2.51,3.86,6.91,4.84,127.00
afrontoso,a,3.54,2.87,3.70,6.79,4.29,73.00
afundado,a,4.75,3.05,4.67,6.41,7.85,2561.00
afunilado,a,4.43,2.62,4.34,6.92,4.65,105.00
agarrado,a,4.67,4.17,4.83,5.05,7.60,2005.00
agasalhado,a,4.19,3.02,4.36,7.08,4.61,100.00
agigantado,a,4.40,2.62,4.09,7.92,3.69,40.00
agitado,a,3.50,4.73,4.15,5.40,8.36,4268.00
agitador,a,4.68,2.91,4.49,7.27,6.42,612.00
aglomerado,a,5.33,3.13,4.69,7.74,8.74,6222.00
agoniado,a,3.77,3.02,3.96,8.13,4.60,99.00
agônico,a,3.98,2.52,3.99,7.37,3.14,23.00
agourento,a,4.12,2.84,4.21,7.90,3.93,51.00
agradecido,a,2.60,4.10,3.36,6.48,7.73,2272.00
agregado,a,3.80,4.24,3.57,5.99,9.19,9826.00
agressivo,a,3.06,4.81,3.70,5.20,9.04,8423.00
agroecológico,a,3.98,2.74,3.97,7.74,3.58,36.00
agroexportador,a,4.66,2.86,4.61,7.19,2.48,12.00
agropecuário,a,4.20,2.41,3.54,8.40,7.10,1210.00
aguado,a,4.54,2.92,4.48,6.46,5.53,253.00
aguçado,a,3.50,3.60,3.91,6.22,5.89,361.00
agudo,a,3.61,3.76,3.71,5.73,8.36,4273.00
aguerrido,a,3.21,2.66,3.45,7.49,6.66,779.00
airoso,a,4.06,2.57,4.09,7.55,5.38,218.00
ajardinado,a,4.49,2.55,4.15,7.71,5.44,230.00
ajoelhado,a,5.32,3.05,5.07,5.91,6.41,609.00
ajuizado,a,2.72,3.29,3.12,7.29,5.62,276.00
ajuramentado,a,4.89,2.63,4.46,7.87,3.64,38.00
alado,a,5.82,2.84,5.52,5.29,6.76,859.00
alagadiço,a,4.33,2.30,3.99,7.57,5.11,166.00
alagado,a,4.49,3.38,4.48,6.81,6.51,669.00
alagoano,a,4.27,2.07,3.74,7.27,8.50,4923.00
alambicado,a,4.33,2.73,4.27,7.28,2.08,8.00
alaranjado,a,5.76,3.37,5.42,5.80,6.46,640.00
alazão,a,5.62,2.31,5.12,5.99,5.41,223.00
albanês,a,4.39,3.00,3.80,7.96,8.15,3468.00
alcalino,a,4.91,3.24,4.44,5.94,6.48,649.00
alcantilado,a,4.48,2.14,4.22,8.39,3.99,54.00
alcoólico,a,4.20,4.29,3.97,6.71,7.85,2559.00
alcoolizado,a,4.64,2.99,4.57,7.48,6.43,618.00
aleatório,a,3.01,4.26,3.31,6.89,7.84,2545.00
alegórico,a,4.54,3.64,4.46,6.52,7.00,1099.00
alemão,a,4.75,3.94,4.51,4.58,11.72,122963.00
alentado,a,3.77,2.80,3.75,7.91,4.78,119.00
alérgico,a,3.87,4.10,3.96,6.06,7.11,1230.00
alexandrino,a,4.30,2.25,3.96,7.25,7.12,1239.00
alfabético,a,4.14,2.94,4.05,6.62,6.73,834.00
alfandegário,a,4.11,2.36,3.58,9.42,6.16,472.00
alfanumérico,a,4.92,2.93,4.38,8.03,5.54,254.00
algébrico,a,3.73,3.11,3.91,6.91,5.91,369.00
algemado,a,5.29,3.63,4.98,6.35,7.05,1150.00
algorítmico,a,3.36,2.68,3.41,8.63,4.28,72.00
alheio,a,2.67,4.16,3.14,6.74,8.38,4366.00
aliado,a,3.72,3.98,3.55,6.28,9.80,18006.00
alienado,a,2.98,3.23,3.39,7.38,6.65,772.00
alimentício,a,4.95,3.12,4.48,7.18,7.43,1693.00
alinhado,a,3.38,3.92,3.43,7.04,7.72,2260.00
aliviado,a,2.80,4.07,3.53,6.45,7.75,2328.00
almaço,a,4.73,2.78,4.30,7.50,4.16,64.00
almejado,a,2.42,3.51,3.11,8.31,6.49,656.00
almiscarado,a,5.46,2.83,5.11,5.57,4.63,103.00
aloirado,a,4.86,3.01,4.76,7.11,3.40,30.00
alongado,a,5.03,3.55,4.37,5.78,7.38,1610.00
alopático,a,4.12,2.64,4.01,7.46,2.94,19.00
aloprado,a,4.93,2.69,4.66,7.12,4.20,67.00
alpino,a,5.37,2.58,5.93,6.77,7.70,2198.00
alquebrado,a,3.95,2.74,4.13,5.94,4.66,106.00
altaneiro,a,3.61,2.13,3.72,7.89,4.79,120.00
alterado,a,3.05,4.23,3.15,6.19,10.59,39850.00
alternado,a,3.76,2.90,3.47,7.28,6.38,591.00
alternativo,a,4.16,4.18,4.33,6.31,9.55,14005.00
altivo,a,3.43,3.21,3.67,6.80,6.65,769.00
alto,a,4.21,5.33,4.45,3.82,12.05,171048.00
altruístico,a,4.17,2.70,4.11,7.77,2.83,17.00
alusivo,a,3.92,3.03,3.82,7.30,6.59,729.00
alvacento,a,4.07,2.46,3.98,7.73,3.56,35.00
alvadio,a,4.50,2.66,4.28,7.33,3.56,35.00
alveolar,a,4.83,2.90,4.21,7.33,6.59,730.00
alvirrubro,a,4.11,2.21,3.83,8.19,7.70,2206.00
alvissareiro,a,3.77,2.59,3.79,7.16,4.09,60.00
alvoroçado,a,3.99,2.98,4.09,6.55,5.14,170.00
amado,a,4.02,4.40,4.67,4.60,9.43,12457.00
amadorístico,a,4.11,2.81,4.08,7.37,2.56,13.00
amalucado,a,4.07,2.89,4.18,7.39,3.99,54.00
amanteigado,a,4.75,3.25,4.61,6.08,4.74,115.00
amarelado,a,5.47,3.75,5.09,5.59,6.96,1051.00
amarfanhado,a,4.39,2.76,4.44,7.20,3.30,27.00
amargo,a,3.36,4.48,3.96,4.47,8.41,4471.00
amargoso,a,4.24,2.54,3.97,7.76,3.89,49.00
amargurado,a,3.64,3.50,4.17,6.52,6.41,609.00
amarrado,a,5.87,4.19,5.42,4.11,8.15,3465.00
amarrotado,a,4.44,3.25,4.36,7.67,4.91,135.00
amassado,a,5.83,4.31,5.24,6.12,6.41,610.00
amazônico,a,3.76,2.64,3.84,7.79,6.66,779.00
ambiente,a,3.93,5.50,4.38,5.31,12.29,217538.00
ambíguo,a,2.53,3.95,3.07,7.41,7.33,1525.00
ameaçador,a,3.29,3.75,3.86,6.69,7.19,1327.00
amendoado,a,4.46,2.43,4.23,7.62,2.40,11.00
amenizar,a,3.24,3.51,3.68,7.29,8.05,3145.00
ameno,a,2.92,3.87,3.46,6.15,7.75,2315.00
americanizado,a,3.76,2.83,4.07,7.77,4.70,110.00
americano,a,4.90,4.33,4.63,5.62,12.01,164722.00
ameríndio,a,4.62,2.28,4.33,7.71,5.42,227.00
amigado,a,4.28,2.61,4.19,7.27,3.53,34.00
amistoso,a,4.18,3.33,4.31,6.75,9.64,15432.00
amnésico,a,4.29,2.55,4.27,8.38,4.69,109.00
amniótico,a,5.92,2.88,4.81,6.39,6.31,549.00
amofinado,a,4.23,2.69,4.26,7.88,2.20,9.00
amolado,a,4.62,2.82,4.59,7.35,3.09,22.00
amontoado,a,4.35,3.52,4.32,6.51,6.76,862.00
amorenado,a,4.28,2.70,4.30,8.12,2.83,17.00
amorfo,a,3.85,2.59,3.80,7.42,5.97,390.00
amoroso,a,3.59,3.98,4.12,6.26,8.86,7078.00
amplificador,a,5.16,3.45,4.75,6.29,7.32,1509.00
amplo,a,3.07,4.57,3.26,6.93,10.10,24438.00
amputado,a,5.14,3.35,4.72,6.41,6.53,682.00
amuado,a,4.19,3.17,4.30,5.59,5.20,181.00
amulatado,a,4.19,2.76,4.23,7.51,2.08,8.00
amuralhado,a,3.97,2.28,3.86,7.21,4.75,116.00
anabólico,a,3.84,2.46,3.57,9.37,4.34,77.00
anacrônico,a,2.86,3.04,3.22,7.47,5.53,251.00
anaeróbico,a,3.59,2.68,3.52,7.33,4.63,103.00
anaeróbio,a,4.02,2.33,3.87,8.73,4.63,103.00
anafilático,a,4.25,2.76,4.31,7.33,5.03,153.00
analógico,a,5.03,3.61,4.85,5.86,7.81,2459.00
anárquico,a,2.64,3.07,3.19,7.40,5.92,374.00
anatômico,a,4.37,3.15,4.27,7.00,5.79,327.00
andaluz,a,4.71,2.71,4.51,7.07,7.18,1318.00
andino,a,4.39,2.28,4.28,6.08,7.03,1132.00
anedótico,a,3.23,3.28,3.31,7.71,5.69,295.00
anelado,a,4.54,2.53,4.44,6.26,4.69,109.00
anestesiado,a,4.72,3.56,4.76,7.16,5.29,199.00
anexo,a,5.03,4.31,4.20,6.74,11.89,145532.00
angélico,a,4.08,3.02,4.22,5.94,6.11,449.00
anglicano,a,4.03,2.34,3.59,7.93,6.71,818.00
anglo-saxão,a,3.42,2.39,3.56,7.57,6.68,795.00
angolano,a,4.77,3.05,4.42,6.37,9.18,9735.00
anguloso,a,4.34,2.84,4.21,6.57,4.69,109.00
angustiado,a,3.07,3.58,3.83,6.94,6.68,800.00
anilado,a,4.48,2.32,4.43,7.56,4.22,68.00
animado,a,3.97,4.79,4.81,5.03,9.67,15871.00
animalesco,a,3.00,2.94,3.36,8.53,4.50,90.00
anímico,a,3.34,2.64,3.62,8.49,5.12,167.00
anódino,a,3.09,2.64,3.18,8.46,4.80,122.00
anômalo,a,3.48,2.63,3.42,7.53,5.23,187.00
anônimo,a,3.72,3.60,3.62,7.90,7.84,2547.00
ansioso,a,3.10,4.90,4.00,4.44,8.94,7599.00
antártico,a,4.37,2.81,4.32,7.86,7.63,2069.00
antecipado,a,2.79,4.08,2.80,7.43,8.78,6479.00
antedatado,a,4.51,2.85,4.40,7.21,2.40,11.00
antediluviano,a,3.65,2.49,3.86,7.35,4.03,56.00
antenado,a,3.85,3.63,4.21,7.55,5.24,189.00
antepenúltimo,a,4.67,3.43,4.19,7.93,6.44,628.00
anteposto,a,4.28,2.64,4.01,7.07,3.58,36.00
antiaéreo,a,4.66,2.49,4.35,7.61,5.61,272.00
antidemocrático,a,2.68,2.86,2.59,8.22,6.42,616.00
antieconômico,a,4.11,2.62,4.03,8.04,3.26,26.00
antiético,a,3.18,3.40,3.42,7.43,5.70,298.00
antigo,a,4.31,4.86,4.19,4.86,11.84,138520.00
anti-horário,a,4.41,3.22,3.84,7.30,6.21,498.00
anti-inflacionário,a,4.32,2.84,4.23,7.47,2.30,10.00
antilhano,a,4.87,2.57,4.54,7.47,4.76,117.00
antipatriótico,a,3.59,2.80,3.60,8.18,3.43,31.00
antipedagógico,a,4.20,2.83,4.14,7.01,2.94,19.00
antiquado,a,3.15,3.91,3.60,6.10,6.90,990.00
antirrábico,a,4.28,2.83,4.23,7.53,2.08,8.00
antitabagista,a,3.46,2.94,3.83,8.82,4.88,131.00
antitérmico,a,4.36,2.58,4.22,7.04,3.64,38.00
antiestético,a,4.13,2.56,4.07,7.86,2.56,13.00
antológico,a,4.33,2.81,4.59,7.61,6.18,484.00
antropocêntrico,a,3.37,2.59,3.40,7.95,3.81,45.00
antropológico,a,3.52,2.89,3.72,8.28,6.71,818.00
antropomórfico,a,4.91,2.85,4.99,6.13,5.62,275.00
anulável,a,3.41,2.80,3.56,8.06,4.36,78.00
anuviado,a,4.42,2.71,4.37,7.16,3.14,23.00
aórtico,a,4.27,2.21,3.97,8.21,4.23,69.00
apalavrado,a,4.44,2.94,4.12,7.88,5.41,223.00
aparentado,a,3.35,3.27,3.28,8.22,6.46,638.00
apartidário,a,3.36,2.57,3.40,9.21,5.57,262.00
aparvalhado,a,3.71,3.05,3.97,8.20,4.04,57.00
apatetado,a,3.94,2.97,4.05,6.66,3.58,36.00
apático,a,3.26,3.36,3.44,6.83,6.67,787.00
apavorado,a,3.62,3.91,4.14,6.87,6.79,886.00
apegado,a,2.90,3.73,3.58,6.91,6.30,545.00
apelativo,a,3.02,3.37,3.34,7.16,6.38,590.00
aperfeiçoado,a,3.41,3.28,3.40,8.31,7.21,1354.00
apertado,a,3.87,4.78,4.06,5.07,8.76,6363.00
apetitoso,a,3.80,3.80,4.17,5.98,5.56,259.00
apimentado,a,4.25,3.72,4.54,5.55,6.05,424.00
apinhado,a,4.39,2.86,4.39,6.96,5.24,188.00
aplicado,a,3.86,4.23,3.65,6.64,10.23,27845.00
apocalíptico,a,2.84,3.07,3.61,7.69,6.56,706.00
apoiado,a,3.63,4.13,3.72,6.12,9.84,18754.00
apolíneo,a,3.49,2.16,3.72,7.94,4.73,113.00
apolítico,a,3.25,3.22,3.69,8.78,5.35,211.00
apologético,a,3.38,2.65,3.53,7.73,4.91,135.00
apoplético,a,4.00,2.63,4.02,7.86,4.23,69.00
apopléctico,a,4.33,2.61,4.28,8.16,2.48,12.00
apostólico,a,4.48,2.75,3.77,7.25,8.19,3593.00
apoteótico,a,3.47,2.75,3.92,7.93,5.14,170.00
aprazado,a,4.58,3.21,4.33,7.47,5.44,230.00
apreciado,a,3.14,4.29,3.44,5.81,8.65,5720.00
apreciativo,a,4.18,2.88,4.16,7.69,3.33,28.00
apreensivo,a,3.63,3.94,3.89,7.23,6.89,983.00
apressado,a,3.65,4.09,3.83,5.19,7.41,1659.00
aprimorado,a,3.57,3.19,3.45,8.27,6.41,610.00
apropriado,a,3.21,4.78,3.19,6.52,9.38,11841.00
aproveitado,a,3.07,4.02,3.17,7.02,8.77,6411.00
aproximado,a,3.67,4.03,3.62,6.59,8.38,4347.00
aproximativo,a,3.87,2.81,3.68,7.07,4.22,68.00
aprumado,a,3.76,2.86,3.86,7.57,4.49,89.00
aprumo,a,3.47,2.58,3.62,7.32,4.93,139.00
apurado,a,3.36,4.31,3.13,7.09,8.67,5843.00
aquartelado,a,5.12,2.59,4.62,8.05,6.01,408.00
aquático,a,5.67,3.98,6.11,5.29,8.87,7138.00
aquilino,a,5.16,2.76,4.60,6.17,6.74,842.00
aquisitivo,a,3.51,3.59,3.80,7.99,7.41,1657.00
aquoso,a,4.13,3.46,4.06,7.01,6.27,526.00
arábico,a,4.51,2.71,4.16,6.48,6.17,480.00
aracajuano,a,4.40,2.76,4.36,7.19,3.09,22.00
aramado,a,4.83,2.75,4.51,7.43,3.04,21.00
aramaico,a,4.57,2.43,4.03,5.43,7.26,1425.00
arável,a,4.32,2.66,4.39,7.56,6.03,417.00
arbitrário,a,2.52,3.61,3.00,7.42,7.38,1600.00
arbóreo,a,4.72,2.39,3.88,7.95,6.14,462.00
arborizado,a,4.01,3.19,4.07,6.61,6.26,522.00
arcaico,a,3.29,3.28,3.42,7.28,7.61,2022.00
ardido,a,4.92,2.92,4.69,6.04,5.77,320.00
ardiloso,a,3.86,2.69,3.91,7.85,5.75,315.00
ardoroso,a,3.97,2.49,3.80,9.06,5.39,220.00
árduo,a,3.37,4.02,3.25,8.03,7.72,2242.00
arejado,a,3.68,3.73,3.90,7.20,5.87,353.00
arenoso,a,4.04,2.79,4.06,6.55,6.77,868.00
argelino,a,4.67,3.08,4.18,7.12,8.50,4923.00
argênteo,a,4.93,2.35,4.56,7.96,3.47,32.00
argentino,a,4.34,3.91,4.31,6.14,10.70,44318.00
argiloso,a,4.15,1.99,4.05,7.68,5.63,278.00
argumentativo,a,3.22,2.86,3.16,7.83,4.94,140.00
arguto,a,2.98,3.03,3.06,7.34,5.39,220.00
árido,a,2.80,3.33,3.47,8.46,7.60,1990.00
arisco,a,4.26,2.95,4.07,6.50,6.06,428.00
aristocrático,a,2.93,3.19,3.39,7.85,6.72,832.00
aritmético,a,3.29,3.01,3.19,7.75,5.83,342.00
armando,a,4.87,3.58,4.57,6.08,9.63,15242.00
armênio,a,4.35,2.71,4.17,6.29,7.98,2936.00
aromático,a,4.43,3.33,4.21,7.90,6.80,899.00
arqueado,a,5.04,2.75,4.89,5.44,5.37,215.00
arqueológico,a,4.65,3.04,4.36,7.71,8.94,7661.00
arquitetônico,a,3.25,2.94,3.67,8.50,8.15,3452.00
arraigado,a,3.23,3.48,3.60,8.55,5.39,220.00
arranhado,a,4.88,3.79,5.02,6.70,5.80,329.00
arranjado,a,4.08,3.89,4.29,6.97,7.65,2091.00
arrasado,a,3.55,3.73,4.29,6.67,7.36,1574.00
arrasador,a,3.16,3.09,3.25,6.74,6.64,767.00
arrastado,a,4.14,4.17,4.36,5.17,8.10,3282.00
arrebatado,a,3.38,3.14,3.92,6.23,6.40,599.00
arrebentado,a,4.28,3.41,4.52,7.17,4.99,147.00
arrebitado,a,5.38,2.65,4.91,5.98,5.07,159.00
arredio,a,3.44,2.88,3.76,7.36,5.23,186.00
arredondado,a,4.74,3.69,4.33,5.40,7.28,1451.00
arregaçado,a,4.14,2.91,3.96,7.32,3.61,37.00
arregalado,a,4.29,2.80,4.29,7.31,3.71,41.00
arreganhado,a,4.31,2.84,4.41,7.38,2.48,12.00
arreliado,a,4.35,2.80,4.27,7.78,2.48,12.00
arrependido,a,3.03,4.15,3.92,6.39,8.21,3664.00
arrepiado,a,4.60,3.46,4.58,5.27,5.99,399.00
arretado,a,3.79,2.59,3.99,7.59,4.08,59.00
arrevesado,a,3.77,2.73,3.80,7.40,3.95,52.00
arriado,a,4.51,2.80,4.38,7.10,3.76,43.00
arriscado,a,2.52,4.40,3.07,6.21,8.22,3699.00
arrojado,a,3.48,3.66,3.94,6.92,7.16,1283.00
arroxeado,a,4.18,2.89,4.18,7.03,4.16,64.00
arruinado,a,3.79,3.79,4.46,6.51,7.71,2224.00
arrumado,a,3.95,4.61,4.11,5.91,7.50,1803.00
arteiro,a,4.10,2.46,3.88,8.57,4.66,106.00
artesiano,a,5.51,2.49,5.02,7.22,5.59,268.00
ártico,a,5.11,2.77,4.74,6.89,8.36,4264.00
articulado,a,4.28,3.72,4.12,7.02,8.18,3579.00
articulatório,a,4.40,2.67,4.21,7.57,2.71,15.00
artificioso,a,2.94,2.69,3.24,7.19,4.62,102.00
artístico,a,4.12,4.04,4.41,6.67,10.23,27815.00
artrópode,a,4.54,2.91,4.22,7.69,6.53,682.00
ascético,a,2.85,2.34,3.31,8.08,5.50,244.00
asfaltado,a,3.68,3.07,3.61,7.14,5.60,271.00
asfixiado,a,4.77,3.24,4.69,6.14,5.74,310.00
asiático,a,4.85,3.77,4.54,5.56,9.45,12716.00
asmático,a,4.43,2.95,4.34,6.68,4.95,141.00
áspero,a,3.44,3.85,3.74,5.54,7.12,1236.00
aspersor,a,4.47,2.95,4.42,7.55,3.00,20.00
asqueroso,a,3.99,3.54,4.21,6.14,6.14,462.00
assado,a,6.66,4.32,6.02,3.35,8.07,3200.00
assalariado,a,4.14,3.64,3.82,7.89,8.12,3365.00
assanhado,a,4.43,2.87,4.58,6.06,4.78,119.00
asseado,a,3.70,3.11,3.89,6.97,5.08,160.00
assegurado,a,2.90,3.96,2.79,8.03,9.00,8139.00
assemelhado,a,4.11,2.75,4.12,7.92,4.88,132.00
assentado,a,3.97,3.22,3.87,6.05,6.99,1084.00
asséptico,a,3.96,3.19,3.85,7.41,5.72,306.00
assertivo,a,3.07,3.19,3.39,6.54,5.84,343.00
assessório,a,4.10,2.87,4.12,7.40,2.89,18.00
assexuado,a,3.69,3.31,4.02,7.97,4.98,146.00
assexual,a,3.87,2.87,3.98,6.96,5.19,179.00
